ip.src	udp.srcport	ip.dst	udp.dstport	dns.qry.name	dns.resp.name
10.0.0.103	56612	10.0.0.102	53	dnscat.6774012b76613500da6506003cbe0e8863	
10.0.0.102	53	10.0.0.103	56612	dnscat.6774012b76613500da6506003cbe0e8863	dnscat.6774012b76613500da6506003cbe0e8863
10.0.0.103	56612	10.0.0.102	53	dnscat.7c0c012b7686d6f992e7cd003dcc361000	
10.0.0.102	53	10.0.0.103	56612	dnscat.7c0c012b7686d6f992e7cd003dcc361000	dnscat.7c0c012b7686d6f992e7cd003dcc361000
10.0.0.103	56612	10.0.0.102	53	dnscat.1ece012b76e6c295ccd187003e5121bf62	
10.0.0.102	53	10.0.0.103	56612	dnscat.1ece012b76e6c295ccd187003e5121bf62	dnscat.1ece012b76e6c295ccd187003e5121bf62
10.0.0.103	56612	10.0.0.102	53	dnscat.6e97012b767524083ea5f7003f781dd953	
10.0.0.102	53	10.0.0.103	56612	dnscat.6e97012b767524083ea5f7003f781dd953	dnscat.6e97012b767524083ea5f7003f781dd953
10.0.0.103	56612	10.0.0.102	53	dnscat.2acf012b7614d4432ec78c0040b82a25ed	
10.0.0.102	53	10.0.0.103	56612	dnscat.2acf012b7614d4432ec78c0040b82a25ed	dnscat.2acf012b7614d4432ec78c0040b82a25ed
10.0.0.103	56612	10.0.0.102	53	dnscat.5118012b761f3e59024ab100416f4d56ad	
10.0.0.102	53	10.0.0.103	56612	dnscat.5118012b761f3e59024ab100416f4d56ad	dnscat.5118012b761f3e59024ab100416f4d56ad
10.0.0.103	56612	10.0.0.102	53	dnscat.796a012b769353c1f1c44f00420899226e	
10.0.0.102	53	10.0.0.103	56612	dnscat.796a012b769353c1f1c44f00420899226e	dnscat.796a012b769353c1f1c44f00420899226e
10.0.0.103	56612	10.0.0.102	53	dnscat.6ab9012b7631169ef739170043e11000ff	
10.0.0.102	53	10.0.0.103	56612	dnscat.6ab9012b7631169ef739170043e11000ff	dnscat.6ab9012b7631169ef739170043e11000ff
10.0.0.103	56612	10.0.0.102	53	dnscat.47a2012b76f7e8850b4f57004416d138f0	
10.0.0.102	53	10.0.0.103	56612	dnscat.47a2012b76f7e8850b4f57004416d138f0	dnscat.47a2012b76f7e8850b4f57004416d138f0
10.0.0.103	56612	10.0.0.102	53	dnscat.6bb9012b76eab5cb7fbce6004558ec0b3b	
10.0.0.102	53	10.0.0.103	56612	dnscat.6bb9012b76eab5cb7fbce6004558ec0b3b	dnscat.6bb9012b76eab5cb7fbce6004558ec0b3b
10.0.0.103	56612	10.0.0.102	53	dnscat.45cf012b764cfd0d9ca60f004684dbb5bd	
10.0.0.102	53	10.0.0.103	56612	dnscat.45cf012b764cfd0d9ca60f004684dbb5bd	dnscat.45cf012b764cfd0d9ca60f004684dbb5bd
10.0.0.103	56612	10.0.0.102	53	dnscat.362d012b76a2bb99b6ac2300470ac434f3	
10.0.0.102	53	10.0.0.103	56612	dnscat.362d012b76a2bb99b6ac2300470ac434f3	dnscat.362d012b76a2bb99b6ac2300470ac434f3
10.0.0.103	56612	10.0.0.102	53	dnscat.6999012b766241d63190ea004838749099	
10.0.0.102	53	10.0.0.103	56612	dnscat.6999012b766241d63190ea004838749099	dnscat.6999012b766241d63190ea004838749099
10.0.0.103	56612	10.0.0.102	53	dnscat.61f2012b76093ea1fabfb10049055eebb5	
10.0.0.102	53	10.0.0.103	56612	dnscat.61f2012b76093ea1fabfb10049055eebb5	dnscat.61f2012b76093ea1fabfb10049055eebb5
10.0.0.103	56612	10.0.0.102	53	dnscat.3e23012b766340ac99bc7f004a6017b4fe	
10.0.0.102	53	10.0.0.103	56612	dnscat.3e23012b766340ac99bc7f004a6017b4fe	dnscat.3e23012b766340ac99bc7f004a6017b4fe
10.0.0.103	56612	10.0.0.102	53	dnscat.1bbf012b7661e5d31de978004bd27c50a4	
10.0.0.102	53	10.0.0.103	56612	dnscat.1bbf012b7661e5d31de978004bd27c50a4	dnscat.1bbf012b7661e5d31de978004bd27c50a4
10.0.0.103	56612	10.0.0.102	53	dnscat.735b012b76eae26dda0e8d004ce6ec93a8	
10.0.0.102	53	10.0.0.103	56612	dnscat.735b012b76eae26dda0e8d004ce6ec93a8	dnscat.735b012b76eae26dda0e8d004ce6ec93a8
10.0.0.103	56612	10.0.0.102	53	dnscat.2899012b76063314f06fc3004dc48aab64	
10.0.0.102	53	10.0.0.103	56612	dnscat.2899012b76063314f06fc3004dc48aab64	dnscat.2899012b76063314f06fc3004dc48aab64
10.0.0.103	56612	10.0.0.102	53	dnscat.1379012b769cb3497ce451004e2adbbeda	
10.0.0.102	53	10.0.0.103	56612	dnscat.1379012b769cb3497ce451004e2adbbeda	dnscat.1379012b769cb3497ce451004e2adbbeda
10.0.0.103	56612	10.0.0.102	53	dnscat.4e1a012b76110400410c79004f9fea100e	
10.0.0.102	53	10.0.0.103	56612	dnscat.4e1a012b76110400410c79004f9fea100e	dnscat.4e1a012b76110400410c79004f9fea100e
10.0.0.103	56612	10.0.0.102	53	dnscat.3201012b76126d3ea606080050d02ce9af	
10.0.0.102	53	10.0.0.103	56612	dnscat.3201012b76126d3ea606080050d02ce9af	dnscat.3201012b76126d3ea606080050d02ce9af
10.0.0.103	56612	10.0.0.102	53	dnscat.7541012b761a274be426220051a91af878	
